ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Parcelna številka za geolokacijo;Interna oznaka dela stavbe;Evidentiranost dela stavbe;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta dela stavbe;Leto izgradnje dela stavbe;Stavba je dokončana;Gradbena faza;Novogradnja;Prodana površina;Prodani delež dela stavbe;Prodana površina dela stavbe;Prodana uporabna površina dela stavbe;Nadstropje dela stavbe;Število zunanjih parkirnih mest;Atrij;Površina atrija;Opombe o nepremičnini;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina;Prostori dela stavbe;Pogodbena cena dela stavbe;Stopnja DDV dela stavbe
635070;338;SREDIŠČE;SREDIŠČE OB DRAVI;1158;1;;;1;SREDIŠČE OB DRAVI;SLOVENSKA CESTA;36;D;;1;1960;1;;;92;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;92,2;66,2; bivalni prostor | odprta terasa, balkon, loža;;
637436;1958;BREZOVICA;DOMŽALE;139;4;;;1;ZABORŠT;IHANSKA CESTA;32;A;4;2;1930;1;;;267;1/1;;;;;;;;2 - Stanovanje;nadstropje;;266,9;151; bivalni prostor | odprta terasa, balkon, loža | prostor z omejeno uporabo | shramba, sušilnica, pralnica;;
633087;712;STARŠE;STARŠE;39;1;;;1;STARŠE;STARŠE;59;;;1;1976;1;;;309;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;308,8;168,1; bivalni prostor | klet | odprta terasa, balkon, loža;;
634984;1994;DOBROVA;;322;1;;;1;;;;;;14;1975;1;;;33;1/36;;;;;;;;57 - Drvarnica;pritličje;;32,5;32,5; kmetijski prostor;;
634620;656;BREZJE;MARIBOR;1322;1;;;1;;;;;;4;1954;1;;;17;1/2;;;;;;;;15 - Garaža;pritličje;;16,5;16,5; garaža;;
640853;1723;VIČ;LJUBLJANA;4802;402;;;1;;;;;;4;1970;1;;;11;1/1;;;;;;;;15 - Garaža;klet;;11,3;11,3; garaža;;
639361;2368;LOME;IDRIJA;46;2;;;1;LOME;LOME;1;;2;13;1776;1;;;43;647/2250;;;;;;;;27 - Hlev;pritličje;;150;150; kmetijski prostor;;
633859;681;POBREŽJE;MARIBOR;1862;1;;;1;;;;;;13;1976;1;;;25;1/1;;;;;;;;28 - Pomožni kmetijski del stavbe;pritličje;;24,7;24,7; kmetijski prostor;;
642813;2168;PODKOREN;KRANJSKA GORA;389;1;;;1;;;;;;13;1950;1;;;61;1/1;;;;;;;;28 - Pomožni kmetijski del stavbe;pritličje;;61;61; kmetijski prostor;;
634530;2100;KRANJ;KRANJ;737;1;;;1;KRANJ;TAVČARJEVA ULICA;19;;1;2;1890;1;;;199;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;nadstropje;;199,3;141; bivalni prostor | klet | odprta terasa, balkon, loža | zaprta terasa, balkon, loža;;
640818;1577;KOČEVJE;KOČEVJE;594;1;;;1;KOČEVJE;TRATA VII;4;;;1;1974;1;;;194;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;194;43,8; bivalni prostor | garaža | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica;;
632825;1710;GRADIŠČE;;437;1;;;1;;;;;;14;1991;1;;;7;1/1;;;;;;;;28 - Pomožni kmetijski del stavbe;pritličje;;6,5;6,5; kmetijski prostor;;
641745;1316;STARA VAS;KRŠKO;1597;1;;;1;KRŠKO;CESTA 4. JULIJA;46;A;;6;1967;1;;;26;1/1;;;;;;;;10 - Trgovski del stavbe;pritličje;;26;26; lokal, prodajalna;;
637395;1738;DRAVLJE;LJUBLJANA;2999;15;;;1;LJUBLJANA;VODOVODNA CESTA;100;;15;3;1995;1;;;12;1/1;;;;;;;;16 - Garažno parkirno mesto;klet;;11,8;0; garažni parkirni prostor;;
