ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
611414;1;26.11.2021;18.06.2021;392000;1;3;;;;;07.03.2022;07.03.2022;1;5
627684;1;03.12.2021;21.04.2021;388000;1;3;;;;;17.03.2022;17.03.2022;1;5
631768;2;03.01.2022;16.12.2021;26144,6;1;4;;;;;03.01.2022;03.01.2022;1;5
631854;1;05.01.2022;10.12.2021;868399,97;1;4;;;;;05.01.2022;05.01.2022;1;5
631876;2;05.01.2022;27.12.2021;41951,65;1;4;;;;;05.01.2022;05.01.2022;1;5
631917;1;06.01.2022;01.10.2021;199000;1;3;;;;;06.01.2022;06.01.2022;1;5
631994;1;07.01.2022;24.12.2021;268400;1;4;;;;;07.01.2022;07.01.2022;1;5
632033;1;10.01.2022;06.10.2021;2562;0;;;;;;10.01.2022;10.01.2022;1;5
632035;1;10.01.2022;21.10.2021;507;0;;;;;;10.01.2022;10.01.2022;1;5
632041;1;10.01.2022;02.11.2021;120000;0;;;;;;10.01.2022;10.01.2022;1;5
632046;1;10.01.2022;22.10.2021;18050;0;;;;;;10.01.2022;10.01.2022;1;5
632050;1;10.01.2022;20.10.2021;26000;0;;;;;;10.01.2022;10.01.2022;1;5
632072;1;10.01.2022;13.11.2021;75000;0;;;;;;10.01.2022;10.01.2022;1;5
632073;1;10.01.2022;25.10.2021;3500;0;;;;;;10.01.2022;10.01.2022;1;5
632079;1;10.01.2022;13.11.2021;35500;0;;;;;;10.01.2022;10.01.2022;1;5
632081;1;10.01.2022;11.11.2021;63000;0;;;;;;10.01.2022;10.01.2022;1;5
632085;1;10.01.2022;28.09.2021;15500;0;;;;;;10.01.2022;10.01.2022;1;5
632103;1;10.01.2022;08.10.2021;330480;0;;;;;;10.01.2022;10.01.2022;1;5
632125;1;10.01.2022;05.11.2021;338000;0;;;;;;10.01.2022;10.01.2022;1;5
632159;1;10.01.2022;03.11.2021;5000;0;;;;;;10.01.2022;10.01.2022;1;5
632226;1;10.01.2022;10.11.2021;6000;0;;;;;;10.01.2022;10.01.2022;1;5
632232;1;10.01.2022;15.11.2021;2000;0;;;;;;10.01.2022;10.01.2022;1;5
