ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
548283;2392;AJDOVŠČINA;AJDOVŠČINA;331/1;5;;;1/1;;636;;
552704;2316;VRTOJBA;ŠEMPETER-VRTOJBA;3194/4;1;;;1/1;;648;;
552704;2316;VRTOJBA;ŠEMPETER-VRTOJBA;3194/6;1;;;1/1;;971;;
552704;2316;VRTOJBA;ŠEMPETER-VRTOJBA;1587;1;;;1/1;;1214;;
552704;2316;VRTOJBA;ŠEMPETER-VRTOJBA;3193/2;1;;;1/1;;135;;
552704;2316;VRTOJBA;ŠEMPETER-VRTOJBA;3194/5;1;;;1/1;;1684;;
552704;2316;VRTOJBA;ŠEMPETER-VRTOJBA;3194/7;1;;;1/1;;6155;;
552704;2316;VRTOJBA;ŠEMPETER-VRTOJBA;1592/6;1;;;1/1;;74;;
552704;2316;VRTOJBA;ŠEMPETER-VRTOJBA;3167/6;1;;;1/1;;59;;
552704;2316;VRTOJBA;ŠEMPETER-VRTOJBA;1592/5;1;;;1/1;;8;;
637200;420;POBREŽJE;VIDEM;455/11;7;;;1/1;;117;;
637201;1421;MEDVEDJE SELO;TREBNJE;594/15;3;;;1/1;;725;;
637202;2597;OSP;KOPER;3184;3;;;1/1;;360;;
637203;1973;MEDVODE;MEDVODE;303/4;5;;;2027/10000;;550;;
637205;1001;PETROVČE;ŽALEC;360/3;3;;;1/1;;300;;
637206;105;MURSKA SOBOTA;MURSKA SOBOTA;63/1;5;;;1/1;;1015;;
637207;1783;GROSUPLJE NASELJE;GROSUPLJE;1052;5;;;1/1;;587;;
637210;1783;GROSUPLJE NASELJE;GROSUPLJE;1074/17;3;;;1/1;;77;;
637211;1783;GROSUPLJE NASELJE;GROSUPLJE;1078/50;9;;;1/1;;522;;
637214;1704;KAMNIK;BREZOVICA;877/14;5;;;1/2;;311;;
637214;1704;KAMNIK;BREZOVICA;877/15;5;;;1/2;;64;;
637215;1110;LIČENCA;SLOVENSKE KONJICE;849;7;;;1/1;;537;;
637215;1110;LIČENCA;SLOVENSKE KONJICE;848;7;;;1/1;;1406;;
637216;1986;POLHOV GRADEC;DOBROVA-POLHOV GRADEC;201/12;3;;;1/1;;43;;
637217;996;ŽALEC;ŽALEC;2005/8;1;;;1/1;;69;;
637218;1115;SLOVENSKE KONJICE;SLOVENSKE KONJICE;218/20;5;;;1/1;;290;;
637219;1777;JAVOR;LJUBLJANA;299/5;1;;;1/1;;466;;
637220;473;BREZOVEC;CIRKULANE;771/2;9;;;1/1;;357;;
637220;473;BREZOVEC;CIRKULANE;*64;5;;;1/1;;362;;
637220;473;BREZOVEC;CIRKULANE;774/2;7;;;1/1;;2989;;
637220;473;BREZOVEC;CIRKULANE;*65/2;5;;;1/1;;133;;
637220;473;BREZOVEC;CIRKULANE;777/5;7;;;1/1;;8531;;
637220;473;BREZOVEC;CIRKULANE;771/1;7;;;1/1;;1326;;
637220;473;BREZOVEC;CIRKULANE;774/3;7;;;1/1;;709;;
637220;473;BREZOVEC;CIRKULANE;774/4;7;;;1/1;;908;;
637220;473;BREZOVEC;CIRKULANE;774/6;7;;;1/1;;972;;
637222;2175;JESENICE;JESENICE;78/4;3;;;3/8;;169;;
637222;2175;JESENICE;JESENICE;78/3;3;;;3/8;;261;;
637223;2181;ZABREZNICA;ŽIROVNICA;118/18;3;;;1/1;;506;;
637225;2175;JESENICE;JESENICE;79/1;4;;;1/4;;427;;
637226;2126;TRBOJE;ŠENČUR;756;7;;;1/2;;17437;;
637227;1166;ČAČA VAS;ROGAŠKA SLATINA;367;7;;;1/1;;2308;;
637227;1166;ČAČA VAS;ROGAŠKA SLATINA;361/6;7;;;1/1;;1662;;
637228;206;IVANJŠEVCI;GORNJA RADGONA;410/4;7;;;1/1;;1670;;
637230;828;ČRNEČE;DRAVOGRAD;9/8;5;;;1/1;;382;;
637231;402;SPUHLJA;PTUJ;330/1;7;;;1/1;;2343;;
637231;402;SPUHLJA;PTUJ;330/2;7;;;1/1;;3309;;
637231;402;SPUHLJA;PTUJ;328/1;7;;;1/1;;4982;;
637231;402;SPUHLJA;PTUJ;328/2;7;;;1/1;;4967;;
637232;693;MIKLAVŽ NA DRAVSKEM POLJU;MIKLAVŽ NA DRAVSKEM POLJU;252;5;;;1/16;;1020;;
637235;680;TEZNO;MARIBOR;28;5;;;1/1;;529;;
637235;680;TEZNO;MARIBOR;29/1;3;;;1/1;;255;;
637236;707;HOTINJA VAS;HOČE-SLIVNICA;466/2;5;;;1/1;;617;;
637237;563;CERŠAK;ŠENTILJ;388/74;9;;;1/1;;8175;;
637238;704;ČRETA;HOČE-SLIVNICA;223/1;5;;;1/2;;503;;
637239;772;ŠTATENBERG;MAKOLE;1336/1;7;;;1/1;;300;;
637239;772;ŠTATENBERG;MAKOLE;1337/1;7;;;1/1;;1250;;
637239;772;ŠTATENBERG;MAKOLE;1338/1;7;;;1/1;;285;;
637239;772;ŠTATENBERG;MAKOLE;*216;5;;;1/1;;90;;
637240;703;RADIZEL;HOČE-SLIVNICA;90/29;1;;;1/1;;279;;
637240;703;RADIZEL;HOČE-SLIVNICA;89/13;5;;;1/1;;492;;
637242;748;SPODNJA POLSKAVA;SLOVENSKA BISTRICA;1336/235;5;;;1/1;;761;;
637243;538;OSEK;SV. TROJICA V SLOV. GORICAH;708/3;7;;;1/1;;95;;
637244;553;ZGORNJA VOLIČINA;LENART;1031/10;7;;;1/1;;1001;;
637245;708;SKOKE;MIKLAVŽ NA DRAVSKEM POLJU;618/359;2;;;1/1;;578;;
637245;708;SKOKE;MIKLAVŽ NA DRAVSKEM POLJU;618/360;2;;;1/1;;31;;
637245;708;SKOKE;MIKLAVŽ NA DRAVSKEM POLJU;618/357;2;;;1/1;;588;;
637245;708;SKOKE;MIKLAVŽ NA DRAVSKEM POLJU;618/254;2;;;1/1;;611;;
637246;741;BUKOVEC;SLOVENSKA BISTRICA;179/5;3;;;1/1;;1824;;
637249;673;LOBNICA;RUŠE;533;7;;;1/1;;182;;
637250;564;ŠENTILJ V SLOVENSKIH GORICAH;ŠENTILJ;791/6;7;;;1/1;;152;;
637251;721;MORJE;RAČE-FRAM;888/4;5;;;1/1;;928;;
637252;747;POKOŠE;SLOVENSKA BISTRICA;17/4;7;;;1/1;;317;;
637252;747;POKOŠE;SLOVENSKA BISTRICA;169/10;7;;;1/1;;2266;;
637252;747;POKOŠE;SLOVENSKA BISTRICA;14;7;;;1/1;;658;;
637252;747;POKOŠE;SLOVENSKA BISTRICA;*6;7;;;1/1;;255;;
637252;747;POKOŠE;SLOVENSKA BISTRICA;21;7;;;1/1;;1270;;
637253;677;ZGORNJE RADVANJE;MARIBOR;498;5;;;1/1;;278;;
637253;677;ZGORNJE RADVANJE;MARIBOR;497;5;;;1/1;;398;;
637254;680;TEZNO;MARIBOR;1935/9;3;;;1/4;;103;;
637254;680;TEZNO;MARIBOR;1930;5;;;1/4;;424;;
637257;653;KOŠAKI;MARIBOR;383/86;5;;;49/100;;1042;;
637257;653;KOŠAKI;MARIBOR;383/3;3;;;49/100;;829;;
637257;653;KOŠAKI;MARIBOR;383/87;3;;;49/100;;63;;
637258;350;LOČIČ;TRNOVSKA VAS;230/1;3;;;1/1;;745;;
637259;350;LOČIČ;TRNOVSKA VAS;230/5;3;;;1/1;;737;;
637260;654;OREŠJE;MARIBOR;5/19;5;;;1/1;;141;;
637260;654;OREŠJE;MARIBOR;5/20;5;;;1/1;;560;;
637262;641;DRAGUČOVA;PESNICA;721;7;;;2/4;;3410;;
637262;641;DRAGUČOVA;PESNICA;722/1;7;;;11810/76930;;38465;;
637263;636;KAMNICA;MARIBOR;173/54;5;;;1/6;;166;;
637265;554;SPODNJA VOLIČINA;LENART;758/8;3;;;1/1;;805;;
637265;554;SPODNJA VOLIČINA;LENART;758/10;3;;;1/1;;598;;
637265;554;SPODNJA VOLIČINA;LENART;758/11;3;;;1/1;;800;;
637265;554;SPODNJA VOLIČINA;LENART;758/9;3;;;1/1;;134;;
637266;582;ŠTRIHOVEC;ŠENTILJ;28/21;3;;;1/1;;631;;
637266;582;ŠTRIHOVEC;ŠENTILJ;38/12;3;;;1/1;;71;;
637267;660;STUDENCI;MARIBOR;2174/2;5;;;1/1;;216;;
637268;681;POBREŽJE;MARIBOR;2241;5;;;1/1;;313;;
637268;681;POBREŽJE;MARIBOR;2242/1;3;;;1/1;;257;;
637272;707;HOTINJA VAS;HOČE-SLIVNICA;456/27;1;;;1/1;;28;;
637272;707;HOTINJA VAS;HOČE-SLIVNICA;456/25;5;;;1/1;;940;;
637274;681;POBREŽJE;MARIBOR;344/2;3;;;1/1;;819;;
637274;681;POBREŽJE;MARIBOR;344/3;3;;;1/1;;882;;
637274;681;POBREŽJE;MARIBOR;344/5;3;;;1/1;;192;;
637274;681;POBREŽJE;MARIBOR;344/1;3;;;1/1;;197;;
637275;763;OPLOTNICA;OPLOTNICA;11/23;3;;;1/1;;183;;
637275;763;OPLOTNICA;OPLOTNICA;11/24;3;;;1/1;;1209;;
637276;552;VINIČKA VAS;LENART;494;7;;;1/1;;5401;;
637277;1274;BOJSNO;BREŽICE;764/55;5;;;1/4;;537;;
637278;1327;POVRŠJE;KRŠKO;817/6;7;;;1/1;;329;;
637278;1327;POVRŠJE;KRŠKO;817/5;10;;;1/1;;1268;;
637279;1310;NOVA VAS;BREŽICE;1717;7;;;1/1;;438;;
637280;1388;PIJAVICE;SEVNICA;735;9;;;1/1;;5515;;
637280;1388;PIJAVICE;SEVNICA;791/5;7;;;1/1;;8583;;
637281;1334;ČRNEČA VAS;KOSTANJEVICA NA KRKI;*55;5;;;1/1;;464;;
637281;1334;ČRNEČA VAS;KOSTANJEVICA NA KRKI;1818;5;;;1/1;;644;;
637283;2005;BREG;BOROVNICA;843;1;;;1/1;;62;;
637283;2005;BREG;BOROVNICA;482/6;5;;;1/1;;207;;
637283;2005;BREG;BOROVNICA;844;6;;;1/2;;241;;
637285;2316;VRTOJBA;ŠEMPETER-VRTOJBA;2624/4;3;;;1/1;;689;;
637285;2316;VRTOJBA;ŠEMPETER-VRTOJBA;2624/7;3;;;1/3;;276;;
637286;2316;VRTOJBA;ŠEMPETER-VRTOJBA;2624/7;3;;;1/3;;276;;
637286;2316;VRTOJBA;ŠEMPETER-VRTOJBA;2622;3;;;1/1;;813;;
637287;2316;VRTOJBA;ŠEMPETER-VRTOJBA;2624/6;3;;;1/1;;664;;
637288;1323;VELIKI TRN;KRŠKO;2480/134;9;;;1/1;;9090;;
637290;1368;POKLEK;SEVNICA;8/1;9;;;57/180;;38708;;
637290;1368;POKLEK;SEVNICA;9/1;9;;;57/180;;11690;;
637291;1344;MALI KAMEN;KRŠKO;839/7;5;;;1/1;;504;;
637291;1344;MALI KAMEN;KRŠKO;839/10;7;;;1/1;;901;;
637293;1320;DRNOVO;KRŠKO;*260;5;;;1/1;;252;;
637293;1320;DRNOVO;KRŠKO;2452/1;5;;;1/1;;404;;
637294;1357;BRESTANICA;KRŠKO;345/3;7;;;1/1;;2009;;
637294;1357;BRESTANICA;KRŠKO;312/2;7;;;1/1;;342;;
637294;1357;BRESTANICA;KRŠKO;311/2;7;;;1/1;;90;;
637295;1254;BUKOVJE;BREŽICE;843;7;;;1/1;;24492;;
637295;1255;DRENOVEC;BREŽICE;27;7;;;1/1;;12527;;
637295;1254;BUKOVJE;BREŽICE;847;7;;;4180/4987;;4987;;
637295;1255;DRENOVEC;BREŽICE;28;7;;;494/2306;;8071;;
637296;1307;CERINA;BREŽICE;359;7;;;1/1;;2091;;
637296;1307;CERINA;BREŽICE;358;7;;;1/1;;870;;
637296;1307;CERINA;BREŽICE;360/1;7;;;1/1;;2106;;
637297;1255;DRENOVEC;BREŽICE;757;5;;;1/1;;3358;;
637298;1046;ZAVRH;DOBRNA;279/4;7;;;1/1;;1190;;
637300;1207;BRECLJEVO;ŠMARJE PRI JELŠAH;300/4;7;;;1/1;;186;;
637301;1625;RIBNICA;RIBNICA;2/8;5;;;2/8;;188;;
637302;1121;ZBELOVSKA GORA;SLOVENSKE KONJICE;1211/26;7;;;1/1;;1922;;
637302;1121;ZBELOVSKA GORA;SLOVENSKE KONJICE;1216;7;;;1/1;;2604;;
637302;1121;ZBELOVSKA GORA;SLOVENSKE KONJICE;1203;7;;;1/1;;270;;
637302;1121;ZBELOVSKA GORA;SLOVENSKE KONJICE;1211/28;7;;;1/1;;209;;
637302;1121;ZBELOVSKA GORA;SLOVENSKE KONJICE;1212/1;7;;;1/1;;777;;
637302;1121;ZBELOVSKA GORA;SLOVENSKE KONJICE;1214/1;7;;;1/1;;4284;;
637302;1121;ZBELOVSKA GORA;SLOVENSKE KONJICE;1215;5;;;1/1;;180;;
637302;1121;ZBELOVSKA GORA;SLOVENSKE KONJICE;1682/1;9;;;1/1;;13897;;
637304;2043;BARBARA;ŠKOFJA LOKA;305/2;5;;;1/6;;111;;
637305;2029;STARI DVOR;ŠKOFJA LOKA;*353;5;;;1/1;;100;;
637305;2029;STARI DVOR;ŠKOFJA LOKA;534/3;3;;;1/1;;560;;
637306;2180;ŽIROVNICA;ŽIROVNICA;1144/6;7;;;1/1;;811;;
637307;78;SEBEBORCI;MORAVSKE TOPLICE;690;7;;;1/1;;5500;;
637308;2199;SAVICA;BOHINJ;804/3;5;;;1/1;;638;;
637309;144;KOBILJE;KOBILJE;1198;9;;;1/1;;650;;
637311;1379;SEVNICA;SEVNICA;1341/3;7;;;1/1;;4032;;
637313;2324;OREHOVLJE;MIREN-KOSTANJEVICA;358/1;7;;;1/1;;2898;;
637314;2242;PODBRDO;TOLMIN;1184/6;7;;;1/1;;219;;
637315;828;ČRNEČE;DRAVOGRAD;183/2;3;;;1/1;;3055;;
637315;828;ČRNEČE;DRAVOGRAD;182/2;3;;;1/1;;673;;
637315;828;ČRNEČE;DRAVOGRAD;182/3;3;;;1/1;;516;;
637315;828;ČRNEČE;DRAVOGRAD;184;3;;;1/1;;14905;;
637315;828;ČRNEČE;DRAVOGRAD;182/1;3;;;1/1;;1926;;
637315;828;ČRNEČE;DRAVOGRAD;183/1;3;;;1/1;;1317;;
637315;828;ČRNEČE;DRAVOGRAD;182/5;3;;;1/1;;863;;
637317;157;DOLGA VAS PRI LENDAVI;LENDAVA;3236;7;;;1/1;;1135;;
637317;157;DOLGA VAS PRI LENDAVI;LENDAVA;3235;7;;;1/1;;498;;
637318;1939;DOBENO;MENGEŠ;292/3;5;;;1/1;;656;;
637318;1939;DOBENO;MENGEŠ;292/7;5;;;1/1;;60;;
637320;1982;ŠUJICA;DOBROVA-POLHOV GRADEC;1401/3;3;;;1/1;;423;;
637320;1982;ŠUJICA;DOBROVA-POLHOV GRADEC;1401/2;5;;;1/1;;599;;
637321;1938;MENGEŠ;MENGEŠ;6/45;5;;;1/1;;13;;
637322;1943;DOB;DOMŽALE;313/1;7;;;1/1;;542;;
637325;2679;GRADIŠČE II;LJUBLJANA;118/17;5;;;1/1;;62;;
637325;2679;GRADIŠČE II;LJUBLJANA;118/28;5;;;1/1;;119;;
637325;2679;GRADIŠČE II;LJUBLJANA;118/18;5;;;1/1;;30;;
637327;1983;BABNA GORA;DOBROVA-POLHOV GRADEC;764/1;7;;;1/1;;2482;;
637327;1983;BABNA GORA;DOBROVA-POLHOV GRADEC;909;9;;;1/1;;5611;;
637327;1983;BABNA GORA;DOBROVA-POLHOV GRADEC;808/1;7;;;1/1;;1021;;
637327;1983;BABNA GORA;DOBROVA-POLHOV GRADEC;812/2;7;;;1/1;;6670;;
637327;1983;BABNA GORA;DOBROVA-POLHOV GRADEC;808/2;7;;;1/1;;723;;
637328;1724;BREZOVICA;BREZOVICA;607/78;3;;;1/1;;700;;
637329;160;VELIKA POLANA;VELIKA POLANA;3555;7;;;1/1;;2836;;
637330;157;DOLGA VAS PRI LENDAVI;LENDAVA;1914;7;;;1/1;;1754;;
