"SKD DEJAVNOST","MESEC","Bruto plaèa Plaèa za mesec [EUR]","Bruto plaèa Plaèa za tromeseèje [EUR]","Neto plaèa Plaèa za mesec [EUR]","Neto plaèa Plaèa za tromeseèje [EUR]"
"SKD Dejavnost - SKUPAJ","2014M01",1539.93,...,1009.22,...
"SKD Dejavnost - SKUPAJ","2014M02",1525.86,...,997.60,...
"SKD Dejavnost - SKUPAJ","2014M03",1531.61,1532.46,1000.38,1002.39
"SKD Dejavnost - SKUPAJ","2014M04",1536.79,1531.44,1004.44,1000.82
"SKD Dejavnost - SKUPAJ","2014M05",1536.96,1535.13,1004.14,1002.99
"SKD Dejavnost - SKUPAJ","2014M06",1526.81,1533.50,999.16,1002.57
"SKD Dejavnost - SKUPAJ","2014M07",1540.93,1534.90,1006.18,1003.16
"SKD Dejavnost - SKUPAJ","2014M08",1522.25,1530.00,996.39,1000.58
"SKD Dejavnost - SKUPAJ","2014M09",1524.59,1529.25,997.74,1000.10
"SKD Dejavnost - SKUPAJ","2014M10",1548.91,1531.94,1010.66,1001.61
"SKD Dejavnost - SKUPAJ","2014M11",1638.63,1570.81,1057.26,1021.94
"SKD Dejavnost - SKUPAJ","2014M12",1571.46,1586.38,1022.14,1030.04
"SKD Dejavnost - SKUPAJ","2015M01",1543.32,1584.61,1006.91,1028.84
"SKD Dejavnost - SKUPAJ","2015M02",1521.23,1545.40,993.30,1007.48
"SKD Dejavnost - SKUPAJ","2015M03",1555.74,1540.12,1011.58,1003.94
"SKD Dejavnost - SKUPAJ","2015M04",1549.33,1542.13,1008.98,1004.64
"SKD Dejavnost - SKUPAJ","2015M05",1533.09,1546.04,1000.44,1007.00
"SKD Dejavnost - SKUPAJ","2015M06",1544.46,1542.30,1006.71,1005.38
"SKD Dejavnost - SKUPAJ","2015M07",1546.44,1541.35,1008.00,1005.06
"SKD Dejavnost - SKUPAJ","2015M08",1528.89,1539.93,998.70,1004.47
"SKD Dejavnost - SKUPAJ","2015M09",1526.54,1533.94,997.77,1001.48
"SKD Dejavnost - SKUPAJ","2015M10",1545.18,1533.56,1007.28,1001.26
"SKD Dejavnost - SKUPAJ","2015M11",1679.41,1583.80,1082.34,1029.18
"SKD Dejavnost - SKUPAJ","2015M12",1594.93,1606.55,1035.58,1041.76
"SKD Dejavnost - SKUPAJ","2016M01",1559.79,1611.60,1015.85,1044.71
"SKD Dejavnost - SKUPAJ","2016M02",1574.22,1576.34,1022.32,1024.60
"SKD Dejavnost - SKUPAJ","2016M03",1593.27,1575.81,1033.95,1024.07
"SKD Dejavnost - SKUPAJ","2016M04",1571.12,1579.53,1021.74,1026.00
"SKD Dejavnost - SKUPAJ","2016M05",1561.26,1575.15,1016.36,1023.99
"SKD Dejavnost - SKUPAJ","2016M06",1564.49,1565.61,1018.70,1018.93
"SKD Dejavnost - SKUPAJ","2016M07",1549.78,1558.50,1010.78,1015.28
"SKD Dejavnost - SKUPAJ","2016M08",1571.30,1561.86,1023.28,1017.59
"SKD Dejavnost - SKUPAJ","2016M09",1558.29,1559.79,1015.33,1016.46
"SKD Dejavnost - SKUPAJ","2016M10",1567.99,1565.85,1020.40,1019.66
"SKD Dejavnost - SKUPAJ","2016M11",1687.64,1604.80,1087.08,1041.03
"SKD Dejavnost - SKUPAJ","2016M12",1653.67,1636.51,1074.27,1060.63
"SKD Dejavnost - SKUPAJ","2017M01",1592.15,1644.58,1039.12,1066.87
"SKD Dejavnost - SKUPAJ","2017M02",1581.37,1609.11,1034.20,1049.23
"SKD Dejavnost - SKUPAJ","2017M03",1623.57,1599.10,1055.85,1043.09
"SKD Dejavnost - SKUPAJ","2017M04",1591.01,1598.68,1038.05,1042.72
"SKD Dejavnost - SKUPAJ","2017M05",1613.73,1609.43,1050.78,1048.23
"SKD Dejavnost - SKUPAJ","2017M06",1602.21,1602.36,1045.06,1044.65
"SKD Dejavnost - SKUPAJ","2017M07",1593.10,1603.00,1039.55,1045.12
